rec_est_id;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_mf;rec_previous_month_mf;rec_previous_month_mf_delta;rec_month_qtd_mov;rec_previous_month_qtd_mov;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_monthly_category;rec_registered_month;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;ano
1;838.8;0.0;838.8;0.0;838.8;5;0;5;167.76;5;24.0;1;1;0;0;0;0;0;0;2022
1;7802.59;0.0;7802.59;838.8;6963.79;93;5;88;83.9;3;25.0;2;1;0;0;0;0;0;0;2022
1;2.0;0.0;2.0;7802.59;-7800.59;2;93;-91;1.0;3;26.0;3;0;0;1;0;0;0;0;2022
1;0.0;1000.0;1000.0;2.0;998.0;1;2;-1;1000.0;3;27.0;4;0;0;0;0;1;0;0;2022
1;0.0;1165.74;1165.74;1000.0;165.74;2;1;1;582.87;3;28.0;5;0;1;0;0;0;0;1;2022
1;0.0;10.56;10.56;1165.74;-1155.18;1;2;-1;10.56;3;29.0;6;0;0;0;0;0;0;1;2022
1;0.0;0.0;0.0;10.56;-10.56;0;1;-1;0.0;4;30.0;7;0;0;0;0;0;0;1;2022
1;2964.88;114324.66;117289.54;11202.27;106087.27;14;11;3;8377.82;3;35.0;12;1;1;0;0;0;0;0;2022
1;1082.19;0.0;1082.19;117289.54;-116207.35;1;14;-13;1082.19;3;36.0;1;1;0;0;0;0;0;0;2023
1;0.0;0.0;0.0;1082.19;-1082.19;0;1;-1;0.0;4;37.0;2;0;1;1;0;0;0;0;2023
49;666.1;0.0;666.1;0.0;666.1;12;0;12;55.51;5;45.0;1;0;0;0;0;1;0;0;2022
49;187.0;0.0;187.0;666.1;-479.1;2;12;-10;93.5;3;46.0;2;0;0;0;0;1;0;0;2022
49;2.6;0.0;2.6;0.0;2.6;1;0;1;2.6;5;49.0;5;0;0;0;0;1;0;0;2022
49;99.0;0.0;99.0;0.0;99.0;1;0;1;99.0;5;57.0;1;0;0;0;0;1;0;0;2023
109;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;2;55.0;2;0;0;1;0;0;0;0;2023
113;6937.2;0.0;6937.2;5580.5;1356.7;71;76;-5;97.71;3;42.0;1;0;0;0;0;1;0;0;2022
113;11971.91;0.0;11971.91;6937.2;5034.71;113;71;42;105.95;3;43.0;2;0;0;0;0;1;0;0;2022
113;8202.1;0.0;8202.1;11971.91;-3769.81;114;113;1;71.95;3;44.0;3;0;0;0;0;1;0;0;2022
113;7703.7;0.0;7703.7;8202.1;-498.4;94;114;-20;81.95;3;45.0;4;0;0;0;0;1;0;0;2022
113;15324.4;0.0;15324.4;7703.7;7620.7;120;94;26;127.7;3;46.0;5;0;0;0;0;1;0;0;2022
113;16683.1;0.0;16683.1;15324.4;1358.7;120;120;0;139.03;3;47.0;6;0;0;0;0;1;0;0;2022
