tx_est_id;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef
27574;2022-09-01;0;0;0;0;1;0;0
26539;2022-11-01;0;0;0;0;1;0;0
26994;2023-03-01;0;0;0;0;1;1;0
26626;2022-09-01;0;0;0;0;1;0;0
10151;2022-02-01;0;0;0;0;1;0;0
27751;2023-03-01;0;0;0;0;1;0;0
4413;2023-04-01;0;0;0;0;1;0;0
27904;2022-11-01;0;0;0;0;1;0;0
30417;2023-05-01;0;0;0;0;1;0;0
27971;2023-05-01;0;0;0;0;1;1;0
29648;2023-01-01;0;1;0;0;0;0;0
30953;2023-04-01;0;0;0;0;1;0;0
23317;2022-05-01;0;0;0;1;0;0;0
49;2022-02-01;0;0;0;0;1;0;0
15074;2022-03-01;0;0;0;0;1;0;0
22340;2022-04-01;0;0;0;0;1;0;0
32053;2023-04-01;0;1;0;0;0;0;0
16870;2022-07-01;0;0;0;0;1;0;0
26054;2022-06-01;0;0;0;0;1;0;0
23445;2023-03-01;0;1;0;0;0;0;0
26549;2022-08-01;0;0;0;0;1;1;0
26730;2022-08-01;0;0;0;0;1;1;0
24635;2023-02-01;0;0;0;0;1;0;0
27546;2022-10-01;0;0;0;0;1;1;0
23242;2023-01-01;0;0;1;0;0;0;0
16615;2022-02-01;0;0;0;0;1;0;0
1505;2022-02-01;0;0;0;0;1;0;0
29233;2023-04-01;0;0;0;0;1;0;0
28342;2022-10-01;0;1;0;0;0;0;0
2023;2022-05-01;0;0;0;0;1;0;0
14869;2022-02-01;0;0;0;0;1;0;0
22244;2022-05-01;0;1;0;0;1;0;0
28481;2023-01-01;0;0;0;0;1;1;0
28967;2023-05-01;0;0;0;0;1;1;0
28528;2023-04-01;0;0;0;0;1;0;0
30711;2023-05-01;0;1;0;0;0;0;0
1742;2022-01-01;0;1;0;0;0;0;0
26498;2022-10-01;0;0;0;0;1;0;0
28874;2023-05-01;0;0;0;0;1;1;0
20653;2022-04-01;0;0;0;0;1;0;0
21992;2022-01-01;0;0;0;0;1;0;0
29717;2023-01-01;0;0;0;0;1;1;0
22244;2022-02-01;0;0;0;0;1;0;0
27363;2023-01-01;0;0;0;0;1;0;0
20663;2022-03-01;0;0;0;0;1;0;0
28519;2023-05-01;1;0;0;0;1;0;0
26459;2022-11-01;0;0;0;0;1;0;0
7991;2022-08-01;0;0;0;0;1;1;0
26576;2022-12-01;0;0;0;0;1;0;0
30507;2023-05-01;0;0;0;0;1;0;0
24739;2023-04-01;0;0;0;0;1;0;0
23871;2022-05-01;0;0;0;1;0;0;0
28560;2022-10-01;0;0;0;0;1;0;0
7346;2022-02-01;0;0;0;0;1;0;0
13389;2022-02-01;0;0;0;0;1;0;0
27089;2022-11-01;0;0;0;0;1;0;0
22864;2022-04-01;0;1;0;0;0;0;0
32249;2023-06-01;0;0;0;0;1;0;0
19356;2022-06-01;0;0;0;0;1;0;0
1008;2023-06-01;0;0;0;0;1;0;0
21752;2023-04-01;0;0;0;0;1;0;0
28209;2023-05-01;0;0;0;0;1;0;0
11193;2022-01-01;0;0;0;0;1;0;0
22191;2023-05-01;0;0;0;0;1;0;0
28598;2023-03-01;0;1;0;0;0;0;0
27018;2022-09-01;0;0;0;0;1;0;0
28917;2023-05-01;0;0;0;0;1;1;0
20337;2022-02-01;0;0;0;0;1;0;0
23897;2022-06-01;0;1;0;0;0;0;0
30230;2023-02-01;0;1;0;0;0;0;0
8948;2022-04-01;0;0;0;0;1;0;0
29197;2022-11-01;0;0;0;0;1;0;0
29517;2023-02-01;0;1;0;0;0;0;0
27331;2023-01-01;0;1;0;0;0;0;0
29902;2023-04-01;0;0;0;0;1;0;0
21251;2022-02-01;0;0;0;0;1;0;0
10481;2022-02-01;0;0;0;0;1;0;0
24705;2022-09-01;0;0;0;0;1;0;0
32009;2023-06-01;0;0;0;0;1;0;0
21251;2022-01-01;0;0;0;0;1;0;0
14898;2022-04-01;0;0;0;0;1;0;0
22572;2022-05-01;0;1;0;0;0;0;0
27139;2023-01-01;0;0;0;0;1;0;0
6906;2022-05-01;0;0;0;0;1;0;0
30702;2023-05-01;0;0;0;0;0;1;0
25681;2023-01-01;0;0;1;0;0;0;0
28373;2023-03-01;0;0;0;0;1;0;0
29712;2023-04-01;0;0;0;0;1;0;0
16813;2022-01-01;0;0;0;0;1;0;0
26334;2022-10-01;0;0;0;0;0;0;1
6302;2022-11-01;0;1;0;0;0;0;0
28030;2022-10-01;0;0;0;0;1;1;0
34382;2023-06-01;0;0;0;0;1;0;0
9076;2022-11-01;0;0;0;0;1;0;0
24677;2023-01-01;0;0;0;0;1;0;0
27729;2023-01-01;0;0;0;0;1;0;0
28007;2022-12-01;0;0;0;0;1;0;0
9788;2022-04-01;0;1;0;0;0;0;0
27621;2023-05-01;0;0;0;0;1;0;0
24761;2023-02-01;0;0;0;0;1;0;0
27419;2022-11-01;0;0;0;0;1;0;0
28745;2023-05-01;0;0;0;0;1;1;0
22863;2022-06-01;0;1;0;0;0;0;0
27082;2023-04-01;0;0;0;0;1;1;0
9086;2022-01-01;0;0;0;0;1;0;0
26747;2022-11-01;0;0;0;0;1;0;0
26640;2022-11-01;0;1;0;0;0;0;0
28242;2022-10-01;0;0;0;0;1;0;0
20433;2022-10-01;0;1;0;0;0;0;0
27377;2022-12-01;0;1;0;0;0;0;0
24727;2022-12-01;0;0;0;0;1;0;0
24753;2023-04-01;0;0;0;0;1;0;0
29702;2023-03-01;0;0;0;0;1;0;0
1004;2022-03-01;0;0;0;0;1;0;0
27261;2022-10-01;0;0;0;0;1;0;0
27045;2022-08-01;0;0;0;0;1;0;0
1695;2022-02-01;0;0;0;0;1;0;0
26102;2023-02-01;0;0;0;0;1;0;0
27600;2023-04-01;0;0;0;0;1;0;0
28063;2022-12-01;0;0;0;0;1;0;0
17569;2022-01-01;0;0;0;0;1;0;0
28243;2023-01-01;0;0;0;0;1;0;0
10281;2022-09-01;0;0;0;0;1;0;0
8384;2022-05-01;0;0;0;0;1;0;0
11505;2022-01-01;0;0;0;0;1;0;0
30309;2023-04-01;0;0;0;0;1;0;0
9142;2022-02-01;0;0;0;0;1;0;0
24629;2022-08-01;0;0;0;0;1;0;0
21141;2022-01-01;0;0;0;0;1;0;0
30014;2023-01-01;0;0;0;0;1;0;0
22943;2022-10-01;0;1;0;0;0;0;0
19740;2022-01-01;0;0;0;0;1;0;0
27369;2022-12-01;0;0;0;0;1;0;0
27711;2023-01-01;0;0;0;0;1;1;0
20520;2022-01-01;0;0;0;0;1;0;0
22975;2023-02-01;0;1;1;0;0;0;0
26755;2023-06-01;0;0;0;0;1;0;0
28204;2023-02-01;0;0;0;0;1;1;0
26781;2023-05-01;0;0;0;0;1;0;0
199;2022-03-01;0;0;0;0;1;0;0
27996;2022-11-01;0;0;0;0;1;0;0
26820;2023-06-01;0;0;0;0;1;0;0
26334;2022-07-01;0;0;0;0;0;0;1
26973;2022-09-01;0;0;0;0;1;0;0
22899;2022-08-01;0;0;0;0;1;0;0
28628;2022-11-01;0;0;0;0;1;0;0
6296;2023-05-01;0;1;0;0;0;0;0
13201;2022-02-01;0;0;0;0;1;0;0
27711;2023-04-01;0;0;0;0;1;0;0
24688;2023-04-01;0;1;0;0;1;1;0
4072;2023-05-01;0;1;0;0;0;0;0
27302;2022-09-01;0;0;0;0;1;0;0
28962;2022-11-01;0;0;0;0;1;0;0
28290;2023-01-01;0;0;0;0;1;1;0
10710;2022-07-01;0;0;0;0;1;0;0
30648;2023-03-01;0;0;0;0;1;1;0
29584;2023-02-01;0;1;0;0;1;0;0
29622;2023-01-01;0;0;0;0;1;0;0
31658;2023-05-01;0;1;0;0;0;0;0
13194;2022-02-01;0;1;0;0;1;0;0
22943;2023-02-01;0;1;0;0;0;0;0
29499;2022-12-01;0;0;0;0;1;0;0
1587;2023-02-01;0;0;0;0;0;0;1
14965;2022-01-01;0;0;0;0;1;0;0
11943;2023-05-01;0;0;0;0;1;0;0
9081;2022-10-01;0;1;0;0;0;0;0
28649;2023-05-01;0;0;0;0;1;0;0
29507;2023-05-01;0;0;0;0;1;1;0
29971;2023-04-01;0;0;0;0;1;0;0
31044;2023-05-01;0;1;0;0;0;0;0
24704;2023-05-01;0;0;0;0;1;0;0
27099;2023-05-01;0;0;0;0;1;0;0
30575;2023-05-01;0;0;0;0;1;0;0
18303;2023-03-01;0;0;0;0;1;0;0
18823;2022-01-01;0;0;0;0;1;0;0
27383;2022-08-01;0;0;0;0;1;0;0
22111;2022-02-01;0;0;0;0;1;0;0
28918;2023-05-01;0;0;0;0;1;1;0
6689;2022-09-01;0;0;0;0;1;0;0
22275;2022-08-01;0;0;0;0;1;0;0
27099;2022-11-01;0;0;0;0;1;0;0
31938;2023-04-01;0;0;0;0;1;1;0
26994;2022-11-01;0;0;0;0;1;1;0
8328;2022-11-01;0;0;0;0;1;0;0
28543;2022-12-01;0;0;1;0;1;0;0
10441;2022-01-01;0;0;0;0;1;0;0
26537;2023-03-01;0;0;0;0;1;0;0
4072;2023-06-01;0;1;0;0;0;0;0
112;2022-03-01;0;0;0;0;1;0;0
32486;2023-05-01;0;0;0;0;1;1;0
19616;2023-02-01;0;0;0;0;1;0;0
20017;2022-12-01;0;0;0;0;1;0;0
31792;2023-05-01;0;0;0;0;1;0;0
31698;2023-05-01;0;1;0;0;0;0;0
20096;2022-01-01;0;0;0;0;1;0;0
11639;2022-01-01;0;0;0;0;1;0;0
28937;2023-05-01;0;0;0;0;1;0;0
14809;2022-01-01;0;0;0;0;1;0;0
21342;2022-03-01;0;0;0;0;1;0;0
22480;2022-10-01;0;1;0;0;0;0;0
22028;2023-06-01;0;0;0;0;1;0;0
26349;2022-09-01;0;0;0;0;1;0;0
26764;2022-12-01;0;0;0;0;1;0;0
22322;2022-02-01;0;0;0;0;1;0;0
26897;2022-10-01;0;0;0;0;1;1;0
13994;2022-04-01;0;0;0;0;1;0;0
32365;2023-06-01;0;1;0;0;0;0;0
18844;2022-03-01;0;0;0;0;1;0;0
29553;2022-12-01;0;0;0;0;1;0;0
28466;2022-12-01;0;0;0;0;1;0;0
29218;2023-01-01;0;0;0;0;1;0;0
31266;2023-04-01;0;1;0;0;0;0;0
28210;2022-11-01;0;0;0;0;1;0;0
32034;2023-05-01;0;0;0;0;1;1;0
29778;2023-01-01;0;0;0;0;1;0;0
14939;2022-03-01;0;0;0;0;1;0;0
34403;2023-06-01;0;0;0;0;1;0;0
27287;2022-09-01;0;1;0;0;0;0;0
26657;2022-11-01;0;0;0;0;1;0;0
26846;2022-11-01;0;0;0;0;1;0;0
26174;2022-12-01;0;1;0;0;1;0;0
29925;2023-04-01;0;0;0;0;1;0;0
28706;2023-01-01;0;0;0;0;1;0;0
27207;2022-11-01;0;0;0;0;1;0;0
12963;2023-02-01;0;0;0;0;1;0;0
17939;2022-01-01;0;0;0;0;1;0;0
19696;2022-08-01;0;0;0;0;1;0;0
34309;2023-05-01;0;1;0;0;0;0;0
26415;2022-06-01;0;0;0;0;1;0;0
26843;2022-08-01;0;0;0;0;1;0;0
26845;2023-06-01;0;0;0;0;1;0;0
28500;2023-04-01;0;0;0;0;1;0;0
24728;2022-10-01;0;0;0;0;1;0;0
28688;2022-11-01;0;0;0;0;1;0;0
19018;2022-05-01;0;0;0;0;1;0;0
29710;2023-06-01;0;0;0;0;1;0;0
26319;2022-08-01;0;0;0;0;1;0;0
27654;2022-12-01;0;0;0;0;1;0;0
8520;2022-02-01;0;0;0;0;1;0;0
21461;2022-01-01;0;0;0;0;1;0;0
26843;2022-10-01;0;0;0;0;1;1;0
26774;2022-11-01;0;0;0;0;1;0;0
26904;2022-10-01;0;0;0;0;1;0;0
30148;2023-02-01;0;0;0;0;1;1;0
1586;2022-06-01;0;0;0;0;0;0;1
27040;2022-08-01;0;0;0;0;1;0;0
25052;2022-06-01;0;0;1;0;0;0;0
9722;2022-06-01;0;0;0;0;1;0;0
28629;2022-10-01;0;0;0;0;1;0;0
26991;2023-01-01;0;0;0;0;1;0;0
20106;2022-03-01;0;0;0;0;1;0;0
27390;2022-11-01;0;0;0;0;1;0;0
26798;2023-01-01;0;0;0;0;1;0;0
691;2022-01-01;0;0;0;0;1;0;0
27813;2023-06-01;0;0;0;0;1;0;0
28937;2022-11-01;0;0;0;0;1;0;0
28714;2022-11-01;0;0;0;0;1;0;0
25101;2023-01-01;0;0;0;0;1;0;0
22240;2022-11-01;0;0;0;0;1;0;0
28149;2022-10-01;0;0;0;0;1;0;0
21785;2022-01-01;0;0;0;0;1;0;0
22761;2022-05-01;0;1;0;0;0;0;0
22110;2022-01-01;0;0;0;0;1;0;0
20034;2022-01-01;0;0;0;0;1;0;0
22150;2022-02-01;0;1;0;0;0;0;0
27289;2022-12-01;0;1;0;0;0;0;0
17425;2023-02-01;0;0;0;0;1;0;0
28624;2022-11-01;0;0;0;0;1;0;0
24753;2023-06-01;0;0;0;0;1;0;0
26280;2022-09-01;0;1;0;0;0;0;0
1587;2022-03-01;0;0;0;0;0;0;1
26812;2022-10-01;0;0;0;0;1;0;0
21096;2022-04-01;0;0;0;0;1;0;0
24725;2022-11-01;0;0;0;0;1;0;0
26916;2022-08-01;0;0;0;0;1;0;0
31738;2023-03-01;0;0;0;0;1;1;0
10108;2022-09-01;0;0;0;0;1;0;0
29090;2023-04-01;0;0;0;0;1;0;0
14877;2022-04-01;0;0;0;0;1;0;0
27019;2022-11-01;0;0;0;0;1;0;0
24793;2023-02-01;0;0;0;0;1;0;0
29732;2023-04-01;0;0;0;0;1;0;0
26312;2022-06-01;0;0;1;0;0;0;0
26460;2022-11-01;0;1;0;0;1;0;0
8175;2022-02-01;0;0;0;0;1;0;0
27650;2023-03-01;0;0;0;0;1;0;0
26547;2022-08-01;0;1;0;0;0;0;0
30892;2023-04-01;0;1;0;0;0;0;0
27719;2023-06-01;0;0;0;0;1;0;0
32859;2023-05-01;0;1;0;0;0;0;0
7646;2022-07-01;0;0;1;0;0;0;0
27543;2022-11-01;0;0;0;0;1;1;0
18167;2022-02-01;0;0;0;0;1;0;0
30107;2023-03-01;0;1;0;0;1;0;0
30762;2023-04-01;0;0;0;0;1;0;0
27815;2023-03-01;0;0;0;0;1;0;0
27059;2023-04-01;0;0;0;0;1;1;0
32540;2023-05-01;0;1;0;0;0;0;0
32277;2023-04-01;0;1;0;0;1;0;0
29422;2023-06-01;0;0;0;0;1;0;0
31980;2023-04-01;0;0;0;0;1;0;0
31811;2023-06-01;0;0;0;0;1;0;0
28370;2023-05-01;0;0;0;0;1;1;0
20990;2022-06-01;0;0;0;0;1;0;0
27732;2023-03-01;0;0;0;0;1;0;0
27184;2022-10-01;0;1;0;0;0;0;0
14254;2022-03-01;0;0;0;0;1;0;0
32276;2023-04-01;0;0;0;0;1;0;0
31846;2023-05-01;0;0;0;0;1;0;0
20542;2022-01-01;0;0;0;0;1;0;0
27821;2022-09-01;0;1;0;0;0;0;0
1586;2022-07-01;0;0;0;0;0;0;1
27517;2022-09-01;0;0;0;0;1;0;0
17788;2022-03-01;0;0;0;0;1;0;0
10077;2022-03-01;0;0;0;0;1;0;0
22316;2022-08-01;0;0;0;0;1;0;0
27165;2023-02-01;0;0;0;0;1;0;0
27878;2022-09-01;0;0;0;0;1;0;0
27560;2023-05-01;0;0;0;0;1;0;0
7219;2023-05-01;0;0;0;0;1;0;0
7221;2022-10-01;0;0;0;0;1;0;0
26774;2023-04-01;0;0;0;0;1;0;0
23445;2023-06-01;0;1;0;0;0;0;0
30761;2023-04-01;0;0;0;0;1;1;0
14787;2022-01-01;0;0;0;0;1;0;0
7791;2022-03-01;0;0;0;0;1;0;0
22666;2023-04-01;0;1;0;0;0;0;0
18794;2022-11-01;0;0;0;0;1;0;0
27371;2022-10-01;0;0;0;0;1;0;0
26210;2022-07-01;0;0;0;0;1;0;0
12916;2022-01-01;0;0;0;0;1;0;0
28092;2022-12-01;0;0;0;0;1;0;0
26924;2023-04-01;0;1;0;0;0;0;0
