rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_qtd_mov;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;rec_monthly_category
1;1;2022;838.8;0.0;5;24.0;1;0;0;0;0;0;0;1;5
1;2;2022;7802.59;0.0;93;25.0;1;0;0;0;0;0;0;1;3
1;3;2022;2.0;0.0;2;26.0;0;0;1;0;0;0;0;1;3
1;4;2022;0.0;1000.0;1;27.0;0;0;0;0;1;0;0;1;3
1;5;2022;0.0;1165.74;2;28.0;0;1;0;0;0;0;1;2;3
1;6;2022;0.0;10.56;1;29.0;0;0;0;0;0;0;1;1;3
1;7;2022;0.0;0.0;0;30.0;0;0;0;0;0;0;1;1;4
1;12;2022;2964.88;114324.66;14;35.0;1;1;0;0;0;0;0;2;3
1;1;2023;1082.19;0.0;1;36.0;1;0;0;0;0;0;0;1;3
1;2;2023;0.0;0.0;0;37.0;0;1;1;0;0;0;0;2;4
49;1;2022;666.1;0.0;12;45.0;0;0;0;0;1;0;0;1;5
49;2;2022;187.0;0.0;2;46.0;0;0;0;0;1;0;0;1;3
49;5;2022;2.6;0.0;1;49.0;0;0;0;0;1;0;0;1;5
49;1;2023;99.0;0.0;1;57.0;0;0;0;0;1;0;0;1;5
109;2;2023;0.0;0.0;0;55.0;0;0;1;0;0;0;0;1;2
113;1;2022;6937.2;0.0;71;42.0;0;0;0;0;1;0;0;1;3
113;2;2022;11971.91;0.0;113;43.0;0;0;0;0;1;0;0;1;3
113;3;2022;8202.1;0.0;114;44.0;0;0;0;0;1;0;0;1;3
113;4;2022;7703.7;0.0;94;45.0;0;0;0;0;1;0;0;1;3
113;5;2022;15324.4;0.0;120;46.0;0;0;0;0;1;0;0;1;3
113;6;2022;16683.1;0.0;120;47.0;0;0;0;0;1;0;0;1;3
113;7;2022;14557.6;0.0;90;48.0;0;0;0;0;1;0;0;1;3
113;8;2022;14159.3;0.0;88;49.0;0;0;0;0;1;0;0;1;3
113;9;2022;7896.1;0.0;76;50.0;0;0;0;0;1;0;0;1;3
113;10;2022;8781.8;0.0;66;51.0;0;0;0;0;1;0;0;1;3
113;11;2022;6094.09;0.0;61;52.0;0;0;0;0;1;0;0;1;3
113;12;2022;11371.9;0.0;85;53.0;0;0;0;0;1;0;0;1;3
113;1;2023;16915.42;0.0;122;54.0;0;0;0;0;1;0;0;1;3
113;2;2023;1173.2;0.0;9;55.0;0;0;0;0;1;0;0;1;3
115;1;2022;7511.4;0.0;92;42.0;0;0;0;0;1;0;0;1;3
115;2;2022;6213.6;0.0;97;43.0;0;0;0;0;1;0;0;1;3
115;3;2022;9086.5;0.0;142;44.0;0;0;0;0;1;0;0;1;3
115;4;2022;4614.5;0.0;85;45.0;0;0;0;0;1;0;0;1;3
120;1;2022;13746.05;0.0;115;42.0;0;0;0;0;1;0;0;1;3
120;2;2022;11121.9;0.0;117;43.0;0;0;0;0;1;0;0;1;3
120;3;2022;9672.1;0.0;99;44.0;0;0;0;0;1;0;0;1;3
120;4;2022;5296.4;0.0;61;45.0;0;0;0;0;1;0;0;1;3
120;5;2022;7162.5;0.0;84;46.0;0;0;0;0;1;0;0;1;3
120;6;2022;9646.7;0.0;74;47.0;0;0;0;0;1;0;0;1;3
120;7;2022;9544.5;0.0;81;48.0;0;0;0;0;1;0;0;1;3
120;8;2022;9777.75;0.0;97;49.0;0;0;0;0;1;0;0;1;3
120;9;2022;5613.96;0.0;69;50.0;0;0;0;0;1;0;0;1;3
120;10;2022;4949.02;0.0;55;51.0;0;0;0;0;1;0;0;1;3
120;11;2022;2035.8;0.0;20;52.0;0;0;0;0;1;0;0;1;3
121;1;2022;10681.0;0.0;84;26.0;0;0;0;0;1;0;0;1;3
204;2;2021;921.0;0.0;4;30.0;0;0;0;0;1;0;0;1;3
204;3;2021;550.8;0.0;2;31.0;0;0;0;0;1;0;0;1;3
275;1;2022;3596.0;0.0;11;41.0;0;0;0;0;1;0;0;1;3
275;2;2022;4857.5;0.0;15;42.0;0;0;0;0;1;0;0;1;3
276;1;2022;25670.0;0.0;23;41.0;0;0;0;0;1;0;0;1;3
276;2;2022;22709.0;0.0;27;42.0;0;0;0;0;1;0;0;1;3
276;3;2022;30392.0;0.0;30;43.0;0;0;0;0;1;0;0;1;3
276;4;2022;54452.0;1050.0;52;44.0;0;1;0;0;1;0;0;2;3
276;5;2022;61988.0;0.0;52;45.0;0;0;0;0;1;0;0;1;3
276;6;2022;47660.0;0.0;28;46.0;0;0;0;0;1;0;0;1;3
276;7;2022;61710.0;0.0;46;47.0;0;0;0;0;1;0;0;1;3
276;8;2022;70485.0;0.0;46;48.0;0;0;0;0;1;0;0;1;3
276;9;2022;40070.0;0.0;30;49.0;0;0;0;0;1;0;0;1;3
276;10;2022;44730.0;0.0;33;50.0;0;0;0;0;1;0;0;1;3
276;11;2022;76376.0;0.0;56;51.0;0;0;0;0;1;0;0;1;3
276;12;2022;84572.0;0.0;64;52.0;0;0;0;0;1;0;0;1;3
276;1;2023;28990.0;0.0;25;53.0;0;0;0;0;1;0;0;1;3
276;2;2023;3040.0;0.0;3;54.0;0;0;0;0;1;0;0;1;3
280;3;2021;900.0;0.0;4;31.0;0;0;0;0;1;0;0;1;5
280;4;2021;1409.0;0.0;10;32.0;0;0;0;0;1;0;0;1;3
280;5;2021;600.0;0.0;5;33.0;0;0;0;0;1;0;0;1;3
280;6;2021;735.0;0.0;5;34.0;0;0;0;0;1;0;0;1;3
282;2;2022;911.3;0.0;3;42.0;0;0;0;0;1;0;0;1;5
299;1;2022;11768.0;0.0;39;41.0;0;0;0;0;1;0;0;1;3
