rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_qtd_mov;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;rec_monthly_category
1;2;2022;8641.39;0.0;98.0;25.0;1;0;0;0;0;0;0;1;3
1;3;2022;7804.59;0.0;95.0;26.0;0;0;1;0;0;0;0;1;3
1;4;2022;2.0;1000.0;3.0;27.0;0;0;0;0;1;0;0;1;3
1;5;2022;0.0;2165.74;3.0;28.0;0;1;0;0;0;0;1;2;3
1;6;2022;0.0;1176.3;3.0;29.0;0;0;0;0;0;0;1;1;3
1;7;2022;0.0;10.56;1.0;30.0;0;0;0;0;0;0;1;1;4
1;12;2022;2964.88;114324.66;14.0;35.0;1;1;0;0;0;0;0;2;3
1;1;2023;4047.07;114324.66;15.0;36.0;1;0;0;0;0;0;0;1;3
1;2;2023;1082.19;0.0;1.0;37.0;0;1;1;0;0;0;0;2;4
49;2;2022;853.1;0.0;14.0;46.0;0;0;0;0;1;0;0;1;3
49;5;2022;189.6;0.0;3.0;49.0;0;0;0;0;1;0;0;1;5
49;1;2023;101.6;0.0;2.0;57.0;0;0;0;0;1;0;0;1;5
113;2;2022;18909.11;0.0;184.0;43.0;0;0;0;0;1;0;0;1;3
113;3;2022;20174.010000000002;0.0;227.0;44.0;0;0;0;0;1;0;0;1;3
113;4;2022;15905.8;0.0;208.0;45.0;0;0;0;0;1;0;0;1;3
113;5;2022;23028.1;0.0;214.0;46.0;0;0;0;0;1;0;0;1;3
113;6;2022;32007.5;0.0;240.0;47.0;0;0;0;0;1;0;0;1;3
113;7;2022;31240.699999999997;0.0;210.0;48.0;0;0;0;0;1;0;0;1;3
113;8;2022;28716.9;0.0;178.0;49.0;0;0;0;0;1;0;0;1;3
113;9;2022;22055.4;0.0;164.0;50.0;0;0;0;0;1;0;0;1;3
113;10;2022;16677.9;0.0;142.0;51.0;0;0;0;0;1;0;0;1;3
113;11;2022;14875.89;0.0;127.0;52.0;0;0;0;0;1;0;0;1;3
113;12;2022;17465.989999999998;0.0;146.0;53.0;0;0;0;0;1;0;0;1;3
113;1;2023;28287.32;0.0;207.0;54.0;0;0;0;0;1;0;0;1;3
113;2;2023;18088.62;0.0;131.0;55.0;0;0;0;0;1;0;0;1;3
115;2;2022;13725.0;0.0;189.0;43.0;0;0;0;0;1;0;0;1;3
115;3;2022;15300.1;0.0;239.0;44.0;0;0;0;0;1;0;0;1;3
115;4;2022;13701.0;0.0;227.0;45.0;0;0;0;0;1;0;0;1;3
120;2;2022;24867.949999999997;0.0;232.0;43.0;0;0;0;0;1;0;0;1;3
120;3;2022;20794.0;0.0;216.0;44.0;0;0;0;0;1;0;0;1;3
120;4;2022;14968.5;0.0;160.0;45.0;0;0;0;0;1;0;0;1;3
120;5;2022;12458.9;0.0;145.0;46.0;0;0;0;0;1;0;0;1;3
120;6;2022;16809.2;0.0;158.0;47.0;0;0;0;0;1;0;0;1;3
120;7;2022;19191.2;0.0;155.0;48.0;0;0;0;0;1;0;0;1;3
120;8;2022;19322.25;0.0;178.0;49.0;0;0;0;0;1;0;0;1;3
120;9;2022;15391.71;0.0;166.0;50.0;0;0;0;0;1;0;0;1;3
120;10;2022;10562.98;0.0;124.0;51.0;0;0;0;0;1;0;0;1;3
120;11;2022;6984.820000000001;0.0;75.0;52.0;0;0;0;0;1;0;0;1;3
276;2;2022;48379.0;0.0;50.0;42.0;0;0;0;0;1;0;0;1;3
276;3;2022;53101.0;0.0;57.0;43.0;0;0;0;0;1;0;0;1;3
276;4;2022;84844.0;1050.0;82.0;44.0;0;1;0;0;1;0;0;2;3
276;5;2022;116440.0;1050.0;104.0;45.0;0;0;0;0;1;0;0;1;3
276;6;2022;109648.0;0.0;80.0;46.0;0;0;0;0;1;0;0;1;3
276;7;2022;109370.0;0.0;74.0;47.0;0;0;0;0;1;0;0;1;3
276;8;2022;132195.0;0.0;92.0;48.0;0;0;0;0;1;0;0;1;3
276;9;2022;110555.0;0.0;76.0;49.0;0;0;0;0;1;0;0;1;3
276;10;2022;84800.0;0.0;63.0;50.0;0;0;0;0;1;0;0;1;3
276;11;2022;121106.0;0.0;89.0;51.0;0;0;0;0;1;0;0;1;3
276;12;2022;160948.0;0.0;120.0;52.0;0;0;0;0;1;0;0;1;3
276;1;2023;113562.0;0.0;89.0;53.0;0;0;0;0;1;0;0;1;3
276;2;2023;32030.0;0.0;28.0;54.0;0;0;0;0;1;0;0;1;3
280;4;2021;2309.0;0.0;14.0;32.0;0;0;0;0;1;0;0;1;3
280;5;2021;2009.0;0.0;15.0;33.0;0;0;0;0;1;0;0;1;3
280;6;2021;1335.0;0.0;10.0;34.0;0;0;0;0;1;0;0;1;3
301;3;2021;6527.4;51022.93;292.0;12.0;0;0;0;0;1;0;0;1;3
301;3;2021;13054.8;42760.18;274.0;12.0;0;1;0;0;0;0;0;1;3
301;4;2021;7390.4;67419.27;327.0;13.0;0;0;0;0;1;0;0;1;3
301;4;2021;1726.0;92078.36;380.0;13.0;0;1;0;0;0;0;0;1;3
301;5;2021;1539.0;89063.01999999999;388.0;14.0;0;1;0;0;0;0;0;1;3
